  [2022-04-01 11:28:12,021], , [HikariPool-1 housekeeper], patient-registration-service, WARN  HikariPool run | HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=16h47m28s844ms584µs300ns).
  [2022-04-01 11:37:29,993], , [RMI TCP Connection(27)-127.0.0.1], patient-registration-service, INFO  SpringApplicationAdminMXBeanRegistrar$SpringApplicationAdmin shutdown | Application shutdown requested.
  [2022-04-01 11:37:30,027], , [RMI TCP Connection(27)-127.0.0.1], patient-registration-service, INFO  ThreadPoolTaskExecutor shutdown | Shutting down ExecutorService 'applicationTaskExecutor'
  [2022-04-01 11:37:30,050], , [RMI TCP Connection(27)-127.0.0.1], patient-registration-service, INFO  LocalContainerEntityManagerFactoryBean destroy | Closing JPA EntityManagerFactory for persistence unit 'default'
  [2022-04-01 11:37:30,180], , [RMI TCP Connection(27)-127.0.0.1], patient-registration-service, INFO  HikariDataSource close | HikariPool-1 - Shutdown initiated...
  [2022-04-01 11:37:34,846], , [RMI TCP Connection(27)-127.0.0.1], patient-registration-service, INFO  HikariDataSource close | HikariPool-1 - Shutdown completed.
  [2022-04-01 11:37:34,862], , [RMI TCP Connection(27)-127.0.0.1], patient-registration-service, INFO  Http11NioProtocol log | Pausing ProtocolHandler ["http-nio-7075"]
  [2022-04-01 11:37:34,959], , [RMI TCP Connection(27)-127.0.0.1], patient-registration-service, INFO  StandardService log | Stopping service [Tomcat]
  [2022-04-01 11:37:34,989], , [RMI TCP Connection(27)-127.0.0.1], patient-registration-service, INFO  [/patient/v1] log | Destroying Spring FrameworkServlet 'dispatcherServlet'
  [2022-04-01 11:37:35,058], , [RMI TCP Connection(27)-127.0.0.1], patient-registration-service, INFO  Http11NioProtocol log | Stopping ProtocolHandler ["http-nio-7075"]
  [2022-04-01 11:37:35,117], , [RMI TCP Connection(27)-127.0.0.1], patient-registration-service, INFO  Http11NioProtocol log | Destroying ProtocolHandler ["http-nio-7075"]
  [2022-04-01 12:05:09,101], , [restartedMain], patient-registration-service, INFO  DevToolsPropertyDefaultsPostProcessor logTo | Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
  [2022-04-01 12:05:09,618], , [restartedMain], patient-registration-service, INFO  PostProcessorRegistrationDelegate$BeanPostProcessorChecker postProcessAfterInitialization | Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$63b14dcf] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
  [2022-04-01 12:05:10,088], , [restartedMain], patient-registration-service, INFO  ConfigServicePropertySourceLocator getRemoteEnvironment | Fetching config from server at : http://172.30.151.100:51000/config
  [2022-04-01 12:05:11,058], , [restartedMain], patient-registration-service, INFO  ConfigServicePropertySourceLocator log | Located environment: name=patient-registration-service, profiles=[dev], label=1.0.0, version=204, state=null
  [2022-04-01 12:05:11,060], , [restartedMain], patient-registration-service, INFO  PropertySourceBootstrapConfiguration initialize | Located property source: CompositePropertySource {name='configService', propertySources=[MapPropertySource {name='configClient'}, MapPropertySource {name='http://172.16.11.166/telemed-ivv/branches/1.0.0/application-dev.properties'}]}
  [2022-04-01 12:05:11,164], , [restartedMain], patient-registration-service, INFO  PatientRegistrationApplication logStartupProfileInfo | The following profiles are active: dev
  [2022-04-01 12:05:13,531], , [restartedMain], patient-registration-service, INFO  RepositoryConfigurationDelegate registerRepositoriesIn | Bootstrapping Spring Data repositories in DEFAULT mode.
